RCCRS_NM,RACE_DT,RACE_DY_CNT,RACE_DOTW,RACE_NO,RCGRD,RACE_CLAS,RACE_NM,RACE_DS,PTIN_NHR,CNDTS_AG,CNDTS_GNDR,CNDTS_BURD_WGT,RPM_FPLC,RPM_SPLC,RPM_TPLC,RPM_FOPLC,RPM_FVPLC,ADMNY_FPLC,ADMNY_SPLC,ADMNY_TPLC,STRT_PARG_TM,STRT_TM,WETR,GOING,RCTYPE,RCDIRECTION
阪神,20260418,,土,1,未勝利,未勝利,3歳未勝利,1800,15,サラ系３歳,牝,,590,240,150,89,59,,,,09:55,09:55,,,ダ,右
阪神,20260418,,土,2,未勝利,未勝利,3歳未勝利,1200,16,サラ系３歳,混,,590,240,150,89,59,,,,10:25,10:25,,,ダ,右
阪神,20260418,,土,3,未勝利,未勝利,3歳未勝利,2000,15,サラ系３歳,混,,590,240,150,89,59,,,,10:55,10:55,,,ダ,右
阪神,20260418,,土,4,未勝利,未勝利,3歳未勝利,1800,18,サラ系３歳,混,,590,240,150,89,59,,,,11:25,11:25,,,芝,右
阪神,20260418,,土,5,１勝クラス,１勝クラス,3歳1勝クラス,2000,6,サラ系３歳,混,,820,330,210,120,82,,,,12:15,12:15,,,芝,右
阪神,20260418,,土,6,１勝クラス,１勝クラス,3歳1勝クラス,1800,15,サラ系３歳,牝,,820,330,210,120,82,,,,12:45,12:45,,,ダ,右
阪神,20260418,,土,7,１勝クラス,１勝クラス,4歳以上1勝クラス,1600,14,サラ系４歳以上,混,,820,330,210,120,82,,,,13:15,13:15,,,芝,右
阪神,20260418,,土,8,１勝クラス,１勝クラス,4歳以上1勝クラス,2400,9,サラ系４歳以上,混,,820,330,210,120,82,,,,13:45,13:45,,,芝,右
阪神,20260418,,土,9,２勝クラス,２勝クラス,吹田特別,1400,14,サラ系４歳以上,混,,1580,630,400,240,158,,,,14:15,14:15,,,ダ,右
阪神,20260418,,土,10,２勝クラス,２勝クラス,丹波特別,1400,9,サラ系４歳以上,混,,1580,630,400,240,158,,,,14:50,14:50,,,芝,右
阪神,20260418,,土,11,オープン,オープン,アンタレスS,1800,16,サラ系４歳以上,混,,3800,1500,950,570,380,,,,15:25,15:25,,,ダ,右
阪神,20260418,,土,12,１勝クラス,１勝クラス,4歳以上1勝クラス,1200,15,サラ系４歳以上,混,,820,330,210,120,82,,,,16:10,16:10,,,ダ,右
